repayment_id,loan_id,repayment_amount,loan_repayment_method_id,repayment_collected_date,collector_id,repayment_backdate,repayment_backdated_date,repayment_adjust_remaining_schedule,repayment_adjust_remaining_schedule_pro_rata,repayment_manual_composition,principal_repayment_amount,interest_repayment_amount,fees_repayment_amount,penalty_repayment_amount,loandisk_system_date,repayment_description,dea_cash_bank_account,branch_id,custom_field_23214
79753851,8491376,31781.0,35306,26/08/2025,97256,0.0,,0.0,0.0,0.0,13935.17,11868.04,5977.79,0.0,26/08/2025 2:13pm,,0.0,63796,THQ222ZTGS
79754037,8491368,3219.0,35306,26/08/2025,97256,0.0,,0.0,0.0,0.0,2599.0,520.0,100.0,0.0,26/08/2025 2:14pm,,0.0,63796,THQ222ZTGS-1
79764376,8431931,35000.0,35306,26/08/2025,98635,,,,,,15850.95,13600.0,2999.08,2549.97,26/08/2025 3:11pm,,,63796,THQ82IPINC - 8431931
79769901,7955529,3623.0,35306,26/08/2025,98635,,,,,,2936.0,587.0,100.0,0.0,26/08/2025 4:06pm,,,63796,THQ62X3XFA - 7955529
79769903,7955536,22127.0,35306,26/08/2025,98635,,,,,,12916.67,6200.0,3010.33,0.0,26/08/2025 4:06pm,,,63796,THQ62X3XFA - 7955536
79770202,8812594,14000.0,35306,26/08/2025,98635,,,,,,10000.0,4000.0,0.0,0.0,26/08/2025 4:16pm,,,63796,THQ5305309 - 8812594
79785636,7414765,246.42,35306,26/08/2025,91368,0.0,,0.0,0.0,0.0,246.11,0.0,0.31,0.0,27/08/2025 5:28am,,0.0,63796,THQ9YVT50Z - 7414784
79786830,8669792,58.35,35306,27/08/2025,98635,,,,,,57.03,0.0,0.18,1.14,27/08/2025 6:12am,,,63796,THR451CBFU - 8669792
79786831,8669796,4291.65,35306,27/08/2025,98635,,,,,,4291.65,0.0,0.0,0.0,27/08/2025 6:12am,,,63796,THR451CBFU - 8669796
79815573,8051886,40000.0,35306,27/08/2025,91368,0.0,,0.0,0.0,0.0,25129.41,10440.0,3000.0,1430.59,27/08/2025 9:46am,,0.0,63796,THR85XMO22
79866353,8862399,677335.0,35307,27/08/2025,91368,0.0,,0.0,0.0,0.0,528970.0,126952.8,18000.0,3412.2,27/08/2025 1:06pm,,0.0,63796,FT252393JMBZ
79866842,8862393,69990.0,35307,27/08/2025,91368,0.0,,0.0,0.0,0.0,57490.0,11500.0,1000.0,0.0,27/08/2025 1:08pm,,0.0,63796,FT252393JMBZ-1
79898127,8958570,1000.0,35306,27/08/2025,98635,,,,,,0.0,1000.0,0.0,0.0,27/08/2025 5:46pm,,,63796,THR38TL7MB - 8958570
79907596,8921173,4925.0,35306,28/08/2025,98635,,,,,,4021.0,804.0,100.0,0.0,28/08/2025 5:15am,,,63796,THS89ZQLPM - 8921173
79908123,8276293,27505.0,35306,28/08/2025,97256,0.0,,0.0,0.0,0.0,12500.0,12000.0,3005.0,0.0,28/08/2025 5:41am,,0.0,63796,THS99WI3TN
79908133,8276291,4395.0,35306,28/08/2025,97256,0.0,,0.0,0.0,0.0,3579.0,716.0,100.0,0.0,28/08/2025 5:41am,,0.0,63796,THS99WI3TN-1
79908388,7399158,102000.0,35306,28/08/2025,91368,0.0,,0.0,0.0,0.0,75000.0,22508.93,741.07,3750.0,28/08/2025 6:32am,,0.0,63796,THS1A4W87P - 7399158
79912518,8901250,250000.0,35306,28/08/2025,98635,,,,,,47000.0,200000.0,3000.0,0.0,28/08/2025 6:43am,,,63796,THS9ACHVSV - 8901250
79923497,8901250,453001.0,35307,28/08/2025,91368,0.0,,0.0,0.0,0.0,453001.0,0.0,0.0,0.0,28/08/2025 7:55am,,0.0,63796,FT25240L661X
79923851,8901250,500000.0,35307,28/08/2025,91368,0.0,,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,28/08/2025 7:55am,,0.0,63796,FT25240MHDXT
79924056,8901250,999999.0,35307,28/08/2025,91368,0.0,,0.0,0.0,0.0,999999.0,0.0,0.0,0.0,28/08/2025 7:56am,,0.0,63796,FT25240WQZXV
79946486,8276291,4405.15,35306,28/08/2025,98635,,,,,,3579.0,716.0,110.15,0.0,28/08/2025 9:33am,,,63796,THS99WI3TN - 8276291
79946513,8276293,27494.85,35306,28/08/2025,98635,,,,,,12500.0,12000.0,2994.85,0.0,28/08/2025 9:33am,,,63796,THS99WI3TN - 8276293
79995593,8887971,18000.0,35306,28/08/2025,98635,,,,,,15300.0,2700.0,0.0,0.0,28/08/2025 1:25pm,,,63796,THS7C5S8NB - 8887971
80014304,8946636,50.0,35306,28/08/2025,98635,,,,,,0.0,50.0,0.0,0.0,28/08/2025 4:18pm,,,63796,THS7DA2CQ9 - 8946636
80019600,8958570,1000.0,35306,28/08/2025,98635,,,,,,0.0,1000.0,0.0,0.0,28/08/2025 5:07pm,,,63796,THS4DO6UFQ - 8958570
80021080,8584670,40431.0,35306,28/08/2025,98635,,,,,,30555.67,6875.03,3000.3,0.0,28/08/2025 5:59pm,,,63796,THS8E05IE2 - 8584670
